Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
59,ECO,8,unknown,unknown,NYSE,1.5927308211778801,92,1.2834887360256222,94,66,22.5,49.20000076293945,0.033604824063428976,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,84,False,False
60,TIGO,8,Communication Services,Telecom Services,NASDAQ,1.5644482708810574,92,1.5190344823996014,94,95,22.62,66.08000183105469,0.034374997629009356,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,91,False,False
61,STRS,8,Real Estate,Real Estate—Diversified,NASDAQ,1.4215657353991664,88,1.2896691045757902,60,18,22.63,29.31999969482422,0.033424296380345914,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,84,False,False
62,RVMD,8,Healthcare,Biotechnology,NASDAQ,1.927463838667722,96,2.4455420257810765,96,11,22.65,101.83000183105469,0.031537165257792314,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
63,DD,8,Basic Materials,Specialty Chemicals,NYSE,1.374347106775312,87,1.2686248824505255,79,37,22.79,50.40999984741211,0.03429026052878664,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,83,False,False
64,HLIO,8,Industrials,Specialty Industrial Machinery,NYSE,1.5484395763550476,92,1.4659123634035067,76,91,22.81,74.2300033569336,0.03311137401702412,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,90,False,False
65,PHIN,8,unknown,unknown,NYSE,1.362253903449724,86,1.2476919494180327,48,79,22.83,75.98999786376953,0.03355610559766195,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,82,False,False
66,BG,8,Consumer Defensive,Farm Products,NYSE,1.344472176895101,85,1.2152661106038838,75,39,22.94,121.94999694824219,0.032940891473301225,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,79,False,False
67,DAR,8,Consumer Defensive,Packaged Foods,NYSE,1.3803418216642966,87,1.1714965533061166,27,23,23.03,51.599998474121094,0.03235050837812945,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,75,False,False
68,ATMU,8,unknown,unknown,NYSE,1.3896599110959225,87,1.2834236422274925,74,71,23.05,64.69999694824219,0.034260312393145934,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,84,False,False
69,HWM,8,Industrials,Specialty Industrial Machinery,NYSE,1.3567081134345922,86,1.2128428936455664,86,85,23.1,258.1000061035156,0.03506789410250313,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,79,False,False
70,JBHT,8,Industrials,Integrated Freight & Logistics,NASDAQ,1.368976648174216,86,1.2071988987543587,65,15,23.12,230.16000366210938,0.03321708930480288,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,78,False,False
71,TEN,8,Consumer Cyclical,Auto Parts,NYSE,1.3696354928839765,86,1.1657498151098653,85,74,23.18,31.149999618530273,0.03081861681104828,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,74,False,False
72,BAP,8,Financial Services,Banks—Regional,NYSE,1.425848713881618,89,1.4136889269246968,76,88,23.22,350.25,0.03621494576777111,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,89,False,False
73,ADI,8,Technology,Semiconductors,NASDAQ,1.3837680374852823,87,1.2556319447739446,42,67,23.24,355.0299987792969,0.03241576469465151,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,82,False,False
74,TNK,8,Energy,Oil & Gas Midstream,NYSE,1.3323082145117247,85,1.1730635636090665,90,64,23.32,72.87999725341797,0.03242118551457641,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,75,False,False
75,BC,8,Consumer Cyclical,Leisure,NYSE,1.3832854259149283,87,1.3397573883829539,46,38,23.48,89.12000274658203,0.034399849701519394,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
76,AIR,8,Industrials,Aerospace & Defense,NYSE,1.5138192402365434,91,1.3510007722311757,70,70,23.49,116.97000122070312,0.03406855547485436,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
77,BWMX,8,Consumer Cyclical,Specialty Retail,NYSE,1.4070337984912045,88,1.5816857389708454,83,88,23.51,18.68000030517578,0.03497247501673817,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,93,False,False
78,ASML,8,Technology,Semiconductor Equipment & Materials,NASDAQ,1.5953900669595908,93,1.5365494555630363,87,36,23.6,1469.5899658203125,0.034076499331329974,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,92,False,False
79,FTI,8,Energy,Oil & Gas Equipment & Services,NYSE,1.607458743176802,93,1.4507402699530043,90,79,23.77,63.4900016784668,0.03422361359430933,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,90,False,False
80,MIRM,8,Healthcare,Biotechnology,NASDAQ,1.5954693080993234,93,1.6015106043085972,85,95,23.94,105.16000366210938,0.03374041884599266,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,93,False,False
81,SKM,8,Communication Services,Telecom Services,NYSE,1.362308712281357,86,0.987694072806031,25,37,24.11,31.170000076293945,0.04411293336136152,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,46,False,False
82,WWD,8,Industrials,Aerospace & Defense,NASDAQ,1.5577762228720342,92,1.362923049578385,82,84,24.21,394.0299987792969,0.04209613688271404,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
83,FLS,8,Industrials,Specialty Industrial Machinery,NYSE,1.4032877710394676,88,1.3605006773153538,83,40,24.25,88.94000244140625,0.03397955374280748,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
84,NVDA,8,Technology,Semiconductors,NASDAQ,1.0676396832554573,55,1.087276239237032,76,87,24.36,189.82000732421875,0.0368619906580946,7,False,False,True,False,True,Friend's Tip,"{'c': False, 'a': False, 'n': False, 's': True, 'l': False, 'i': False, 'm': True}",-1,False,65,False,False
85,TPB,8,Consumer Defensive,Tobacco,NYSE,1.4161416788369012,88,1.4702244438259917,83,95,24.37,135.52000427246094,0.03429436619770416,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,90,False,False
86,ANDE,8,Consumer Defensive,Food Distribution,NASDAQ,1.404088815165648,88,1.314597272335807,80,27,24.39,65.6500015258789,0.03742791525583192,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,86,False,False
87,TSLA,7,Consumer Cyclical,Auto Manufacturers,NASDAQ,1.0362516394995411,49,1.1297152985646046,72,68,24.41,411.82000732421875,0.03674456122531704,3,True,False,True,False,True,Twitter,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",-1,False,71,False,False
88,DLX,8,Communication Services,Advertising Agencies,NYSE,1.460982681611046,90,1.2709978758252254,67,70,24.44,27.229999542236328,0.03441779886479177,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,83,False,False
89,WFRD,8,Energy,Oil & Gas Equipment & Services,NASDAQ,1.5492254984304206,92,1.3544953670087065,80,50,24.5,104.44000244140625,0.03628330217599848,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,87,False,False
90,ESLT,8,Industrials,Aerospace & Defense,NASDAQ,1.6008999229043197,93,1.5627915645845556,86,95,24.5,724.72998046875,0.0348277611475718,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,92,False,False
