Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
56,Specialty Chemicals,Basic Materials,1.07,38,1.08,46,22,18,41,"ALB,CLMT,SQM,LYB,WLK,DD,CC,KOP,PRM,NGVT,ESI,ODC,MTX,LIN,APD,CMT,BCPC,WDFC,ECL,IFF,HWKN,AVNT,EMN,PPG,SXT,SHW,FUL,CBT,SCL,ASH,RPM,AXTA,KWR,NEU,IOSP"
57,REIT - Retail,Real Estate,1.07,38,1.06,30,18,12,38,"WSR,CBL,PINE,NTST,GTY,BRX,KRG,CURB,O,REG,KIM,ALX,SPG,NNN,SKT,IVT,ADC,PECO,FRT,MAC,UE,EPRT,FCPT,BFS,AKR"
58,Utilities - Diversified,Utilities,1.07,38,1.06,41,30,18,38,"SRE,AES,AVA"
59,Metal Fabrication,Industrials,1.07,38,1.15,63,44,31,53,"ATI,CRS,PRLB,MLI,MEC,CMC,GPGI,IIIN,RYZ,WOR,ESAB"
60,Banks - Diversified,Financial Services,1.07,38,1.08,49,49,42,41,"CM,TD,HSBC,C,BMO,RY,BBVA,BK,BNS,SMFG,NTB,MUFG,ING,BCS,JPM,BAC,WFC"
61,Steel,Basic Materials,1.06,36,1.11,60,42,27,47,"NWPX,MT,STLD,NUE,PKX,TX,SIM,MSB,WS,RS,FRD,MTUS"
62,Integrated Freight & Logistics,Industrials,1.06,36,1.12,52,39,11,48,"FDX,CHRW,JBHT,ZTO,GXO,EXPD,LSTR,HUBG,FWRD"
63,Apparel Manufacturing,Consumer Cyclical,1.06,36,1.08,36,40,21,41,"FIGS,RL,GIL,VFC,KTB,LEVI,GIII,COLM,OXM"
64,Pollution & Treatment Controls,Industrials,1.06,36,1.04,62,46,46,35,"CECO,ZWS,FSS,VLTO"
65,Capital Markets,Financial Services,1.06,36,1.06,45,43,48,38,"IREN,WULF,HUT,GOLD,COHN,OPY,IBKR,RIOT,SNEX,GS,XP,VIRT,MS,TW,SCHW,FUTU,MRX,EVR,PIPR,MKTX,SF,HOOD,PWP,GLXY,LAZ,PJT,MC,LPLA,HLI,JEF,ETOR,GSIW"
